iter	Logloss
0	0.5202179993
1	0.4575258631
2	0.4290478246
3	0.4141712059
4	0.4094274871
5	0.40668459
6	0.4026151125
7	0.4016336973
8	0.3992337078
9	0.3968957395
10	0.3964466951
11	0.3947516201
12	0.3943678668
13	0.3942263856
14	0.3939064701
15	0.393625973
16	0.3933791336
17	0.3931650175
18	0.3929808221
19	0.3928467108
20	0.391011011
21	0.39084646
22	0.3907086379
23	0.3905909532
24	0.3894611021
25	0.3889279009
26	0.3881232593
27	0.3880139305
28	0.3879214436
29	0.3871762023
30	0.3870553257
31	0.3861328436
32	0.3853624305
33	0.3841088224
34	0.3830517879
35	0.3829490765
36	0.3826924538
37	0.3820871366
38	0.3818970246
39	0.3810108211
40	0.3809448294
41	0.3807455569
42	0.3806906979
43	0.3806034789
44	0.3805640603
45	0.3804928267
46	0.3800806318
47	0.3794731088
48	0.3794259311
49	0.3789683232
50	0.378915125
51	0.3786663133
52	0.3785984532
53	0.3784654059
54	0.378284636
55	0.3779993122
56	0.3775912953
57	0.3772342189
58	0.3768748069
59	0.375976848
60	0.3757518327
61	0.3756142182
62	0.3755606048
63	0.3754236649
64	0.3751442319
65	0.3748125349
66	0.3744584687
67	0.3744125885
68	0.3743713794
69	0.3740989529
