iter	Passed	Remaining
0	1	108
1	2	92
2	3	76
3	4	69
4	4	64
5	5	61
6	6	58
7	7	56
8	8	54
9	8	53
10	9	51
11	10	51
12	11	50
13	12	51
14	13	50
15	14	49
16	15	47
17	16	46
18	16	45
19	17	44
20	18	43
21	19	41
22	19	40
23	20	39
24	21	38
25	22	37
26	22	36
27	23	35
28	24	35
29	25	34
30	26	33
31	27	33
32	28	32
33	29	31
34	30	30
35	31	29
36	31	28
37	32	27
38	33	26
39	34	25
40	34	24
41	35	23
42	36	22
43	37	21
44	38	21
45	38	20
46	39	19
47	40	18
48	41	17
49	41	16
50	42	15
51	43	14
52	43	13
53	44	13
54	44	12
55	45	11
56	46	10
57	46	9
58	47	8
59	47	7
60	48	7
61	49	6
62	49	5
63	50	4
64	50	3
65	51	3
66	52	2
67	52	1
68	53	0
69	53	0
