,Attrition
1374,0
1092,0
768,0
569,0
911,1
408,0
1321,0
1224,0
1061,0
530,0
1233,0
1303,0
347,0
440,1
1160,0
826,0
61,0
519,0
1027,0
92,0
1169,0
620,0
682,0
40,0
977,0
75,0
422,1
1264,0
703,0
662,1
247,0
621,0
1192,0
553,0
186,0
156,0
879,0
312,0
8,0
997,1
1343,0
427,0
542,0
434,0
511,0
1342,0
648,0
589,1
1350,0
1188,0
847,0
1150,0
563,0
411,0
708,0
512,0
724,0
362,0
1047,0
558,0
579,0
1029,0
549,0
712,0
810,0
1317,0
922,0
1298,1
1268,0
557,0
831,1
686,0
969,0
1395,1
944,0
1402,0
1054,0
1128,0
1323,0
597,0
259,1
401,0
529,0
773,0
946,1
251,0
486,0
249,0
676,0
795,0
1154,0
1365,1
1177,0
996,0
757,0
1302,0
646,0
1223,1
769,0
825,0
689,1
464,0
1050,0
601,0
446,0
994,0
1249,1
1415,0
194,0
240,0
1286,0
704,0
1407,0
1044,0
49,0
733,0
436,1
568,1
1382,0
991,0
841,0
539,0
77,0
801,1
438,0
44,0
1205,1
1013,0
789,1
300,0
1267,0
1089,0
276,0
670,0
402,0
269,0
828,1
494,0
891,0
1133,0
283,0
1002,0
817,0
399,0
458,0
406,0
590,0
338,0
363,1
759,0
793,0
581,0
320,0
452,0
195,0
776,1
1295,0
70,0
1135,0
1011,0
10,0
1265,0
1270,0
1257,1
271,1
858,0
790,0
1290,1
915,1
64,0
959,0
1274,0
1394,0
1109,0
416,0
1234,0
687,0
818,0
205,1
328,0
846,0
1278,0
477,0
1237,1
618,0
1409,0
678,0
861,0
418,0
923,0
1110,1
1328,0
535,0
918,0
565,0
961,0
822,0
655,0
517,0
1346,0
1457,0
513,1
1017,0
472,0
1187,0
131,0
15,0
871,1
984,0
435,1
1379,1
476,0
1258,0
466,0
920,0
1384,0
1459,0
746,0
1299,0
781,0
1226,0
103,0
60,0
1127,0
1087,0
165,0
1182,0
721,0
349,0
185,0
1163,0
371,0
117,0
1319,0
252,0
927,0
311,0
764,0
395,0
358,0
263,0
359,0
999,0
1025,0
1359,0
1335,0
1403,0
16,0
1014,0
992,0
840,0
351,0
784,0
1451,0
1340,0
695,1
615,0
97,0
1081,0
1281,1
196,0
183,0
1291,1
1427,0
672,0
1261,0
533,0
688,1
81,0
1139,0
397,0
267,0
386,0
1276,0
132,1
265,0
744,1
1213,1
88,0
866,0
578,0
881,0
1140,0
294,0
261,0
752,1
987,0
1211,0
1424,0
405,1
356,0
239,1
900,0
936,0
1042,0
912,0
654,0
761,1
1437,0
453,1
110,0
1199,0
1322,0
644,0
1156,0
503,0
613,0
1072,0
725,1
1217,0
880,0
367,0
1454,0
384,0
200,0
65,0
1030,0
798,1
272,0
1277,0
1196,0
950,0
1001,0
758,0
541,0
478,0
823,0
1136,1
1320,0
1190,0
188,0
1168,0
896,0
921,0
316,0
214,1
1230,0
1355,0
904,0
531,0
255,0
30,0
1124,0
230,0
1181,0
1003,0
1357,0
808,0
884,0
264,1
101,0
13,0
1145,0
805,0
799,0
962,0
829,1
566,1
953,1
1333,1
523,0
1388,0
495,1
729,0
960,0
1469,0
1428,0
1212,0
1102,0
366,1
674,0
228,0
417,0
206,0
79,0
190,0
492,0
1148,0
145,0
716,0
318,0
1466,0
824,0
457,1
144,0
1220,0
1010,0
839,0
1393,0
883,0
592,0
1095,0
1387,0
83,0
154,0
1018,0
1280,0
762,1
127,1
1052,0
713,0
403,0
150,0
905,0
413,0
1369,1
906,0
1005,0
771,0
1297,1
820,0
862,0
352,0
95,0
625,0
571,0
37,0
485,0
143,0
737,0
158,0
552,0
988,0
1078,0
1000,0
1055,0
760,0
236,1
938,0
222,0
1433,0
1070,0
958,0
661,0
588,0
897,0
982,0
62,0
1287,0
193,0
235,0
181,0
1184,0
1121,0
1031,1
521,0
669,1
844,0
811,0
1036,1
864,1
382,1
1242,0
1364,0
331,0
899,0
262,0
6,0
266,0
38,0
1426,0
545,0
118,0
652,0
1164,0
706,1
105,0
1063,0
484,0
1418,0
857,1
683,1
20,0
242,0
50,1
162,0
441,0
731,1
1344,0
893,0
1049,0
301,0
1105,0
172,0
707,0
658,0
870,0
284,0
1045,0
1372,0
1455,0
1422,0
1441,0
901,0
668,0
1356,0
788,0
210,1
344,0
306,0
217,1
1442,1
289,0
378,1
167,0
421,1
225,0
616,0
12,0
522,0
1101,0
68,0
90,0
1116,0
380,0
968,0
372,0
258,0
1246,1
937,0
304,0
1315,0
410,0
1421,0
1202,0
42,1
208,0
532,0
957,0
490,0
596,0
74,0
515,0
285,0
1197,0
71,0
561,0
179,0
933,0
1378,0
493,0
116,0
293,1
76,0
48,0
877,0
775,0
772,0
1215,0
1024,0
332,0
576,0
622,0
564,0
1193,0
974,0
409,0
636,1
1461,1
1447,0
1239,0
288,1
1012,1
630,0
524,0
157,0
337,0
1390,1
496,0
46,0
747,0
135,0
753,0
462,0
1260,0
1115,0
878,0
439,1
177,1
570,0
1186,1
424,0
325,0
643,0
664,0
350,0
447,0
934,0
17,0
1076,0
1062,0
1443,0
1041,0
1392,0
1370,0
345,0
475,0
313,0
754,0
963,0
451,0
170,0
699,0
1468,0
133,0
813,1
1244,0
1175,0
830,0
78,0
1151,0
346,0
396,0
1203,0
389,0
385,1
895,0
1254,0
119,0
1238,0
1122,0
229,1
1245,0
21,1
1165,0
766,0
392,0
250,1
243,0
1088,0
35,0
593,0
671,0
507,0
1367,0
1450,0
1098,0
979,0
1191,0
109,0
955,0
379,0
869,0
614,1
604,0
986,0
943,0
627,0
796,1
902,0
660,1
582,0
1362,0
723,0
171,1
677,0
238,0
700,1
1391,0
1232,0
856,0
709,1
1444,1
321,0
120,0
1305,0
155,0
1248,0
624,0
138,0
125,0
456,0
66,0
848,0
745,0
1348,0
780,1
1296,0
626,0
605,0
1453,0
1219,0
178,0
1214,0
415,1
100,1
1057,1
219,0
741,0
334,0
1200,0
114,0
834,0
681,0
833,0
220,0
391,0
1354,1
939,1
309,0
1282,0
1376,0
527,0
414,1
245,0
685,0
518,0
